ID	Collection_site	lat	lon	MATx10	County..State	Alive_UVM	dbio1[, 1]	MAT
ApGXL-21-E	Bear Brook State Park, NH	43.0996	71.3481	NA	Allenstown, NH	0	110	NA
ApGXL-22-A	Sebago Lake State Park, ME	43.9235	70.5828	NA	Raymond, ME	0	107	NA
ApGXL-22-B	Sebago Lake State Park, ME	43.9237	70.5828	NA	Raymond, ME	1	107	NA
ApGXL-22-C	Sebago Lake State Park, ME	43.9239	70.5837	NA	Raymond, ME	1	107	NA
ApGXL-22-D	Sebago Lake State Park, ME	43.9239	70.5837	NA	Raymond, ME	0	107	NA
ApGXL-23-A	Merriman State Forest, NH	44.1111	71.1403	NA	Silver Lake, NH	0	104	NA
ApGXL-23-B	Merriman State Forest, NH	44.1193	71.1377	NA	Silver Lake, NH	0	104	NA
ApGXL-23-C	Merriman State Forest, NH	41.111	71.1368	NA	Silver Lake, NH	0	106	NA
ApGXL-24-A	UVM East Woods	44.4397	73.1969	978	Burlington, VT	1	99	97.8
ApGXL-24-B	UVM East Woods	44.4397	73.1969	978	Burlington, VT	0	99	97.8
ApGXL-24-C	UVM East Woods	44.4397	73.1969	978	Burlington, VT	0	99	97.8
ApGXL-25-A	Rugar Woods, SUNY Plattsburgh	44.4906	73.4855	NA	Plattsburgh, NY	1	98	NA
ApGXL-25-B	Rugar Woods, SUNY Plattsburgh	44.4906	73.4855	NA	Plattsburgh, NY	0	98	NA
ApGXL-25-C	Rugar Woods, SUNY Plattsburgh	44.4906	73.4855	NA	Plattsburgh, NY	0	98	NA
ApGXL-25-D	Rugar Woods, SUNY Plattsburgh	44.4906	73.4855	NA	Plattsburgh, NY	0	98	NA
ApGXL-26-A	Molly Bog, VT	44.5	72.64	236	Stowe, Vt	1	101	23.6
ApGXL-26-B	Molly Bog, VT	44.5	72.64	236	Stowe, Vt	0	101	23.6
ApGXL-26-C	Molly Bog, VT	44.5	72.64	236	Stowe, Vt	1	101	23.6
ApGXL-26-D	Molly Bog, VT	44.5	72.64	236	Stowe, Vt	0	101	23.6
ApGXL-26-E	Molly Bog, VT	44.5	72.64	236	Stowe, Vt	0	101	23.6
ApGXL-27-A	Kennebec Highlands, ME	44.5675	69.9211	NA	Belgrade Lakes, ME	0	98	NA
ApGXL-27-B	Kennebec Highlands, ME	44.5676	69.9211	NA	Belgrade Lakes, ME	0	98	NA
ApGXL-27-C	Kennebec Highlands, ME	44.5676	69.9211	NA	Belgrade Lakes, ME	0	98	NA
ApGXL-28-A	Bradley Public Lands, ME	44.9341	68.5284	NA	Bradford, ME	0	99	NA
ApGXL-28-B	Bradley Public Lands, ME	44.9818	68.5174	NA	Bradford, ME	0	99	NA
